Protein,GN,Species
E7EPJ9,SERPINB2,Homo sapiens
H0YIZ6,HAUS4,Homo sapiens
A0A087WYN9,DHX29,Homo sapiens
H3BST2,NEIL1,Homo sapiens
M0QXA8,SPIB,Homo sapiens
A0A590UK40,B9D1,Homo sapiens
A0A3B3ISG7,HDAC8,Homo sapiens
J3KP15,SRSF2,Homo sapiens
A0A1B0GUQ8,CIITA,Homo sapiens
H7C5G0,AGAP3,Homo sapiens
C9JM11,STAT4,Homo sapiens
F5H4L1,SPPL3,Homo sapiens
E7EMC5,AFF1,Homo sapiens
A0A7I2V4P4,ANXA2,Homo sapiens
F8WD25,PHKG1,Homo sapiens
J3KR67,HESX1,Homo sapiens
E5RGS5,RWDD1,Homo sapiens
A0A7I2V4P7,HNRNPA1,Homo sapiens
H7C0W4,NABP1,Homo sapiens
A0A087WZX6,ABCA7,Homo sapiens
A0A7I2V3I5,LAMB1,Homo sapiens
A0A7I2V3Z1,HGS,Homo sapiens
C9JW96,PHB,Homo sapiens
E7ESE2,PHB,Homo sapiens
F8VWB0,SLC11A2,Homo sapiens
A0A087X253,AP2B1,Homo sapiens
H7C3S3,PPM1M,Homo sapiens
A0A7P0TAF3,DYNC1H1,Homo sapiens
A0A3B3IS71,RB1,Homo sapiens
C9J8C2,ABHD1,Homo sapiens
C9JAT9,ADAD1,Homo sapiens
A0A5F9ZH95,TRAK1,Homo sapiens
H0YBE0,MTDH,Homo sapiens
A0A1W2PQP0,KCNJ10,Homo sapiens
C9J679,PPIG,Homo sapiens
E9PR63,RCOR3,Homo sapiens
A0A7I2V5G3,MARK3,Homo sapiens
J3QS23,CBLN2,Homo sapiens
H3BM04,PTPN12,Homo sapiens
H7BZ81,RETSAT,Homo sapiens
E9PDE8,HSPA4L,Homo sapiens
E9PLX1,C1orf194,Homo sapiens
K7ERX8,CNTD1,Homo sapiens
H0YJD1,PAX8,Homo sapiens
J3QKT4,PYCR1,Homo sapiens
F8WAR1,RFTN1,Homo sapiens
H7C3Q8,ACAP2,Homo sapiens
H7BXV5,COL18A1,Homo sapiens
H0Y7Y7,HLA-DQB2,Homo sapiens
A0A1W2PPV7,TCEA1,Homo sapiens
H0Y7Q2,VPS50,Homo sapiens
A0A087X1L8,LOC102723996,Homo sapiens
B1APH0,BNC2,Homo sapiens
H0Y9W2,MRPS18C,Homo sapiens
A0A0A0MT99,IGLJ3,Homo sapiens
Q5JSK8,HMGN5,Homo sapiens
E5RIW3,TBCA,Homo sapiens
I3L3P4,TNFRSF12A,Homo sapiens
F8WAY6,RAD51B,Homo sapiens
H0Y659,HUWE1,Homo sapiens
A0A1W2PPG6,GNAO1,Homo sapiens
G3V3U1,SIVA1,Homo sapiens
M0QXI4,ZNF766,Homo sapiens
H0YE05,RBL1,Homo sapiens
H0Y4B1,TBX19,Homo sapiens
H0YEP5,SMPD1,Homo sapiens
A0A7P0T8I2,DMD,Homo sapiens
H0YJ38,COA8,Homo sapiens
F8WBD7,ZC3HC1,Homo sapiens
A0A590UK13,DLG1,Homo sapiens
E9PEE2,NCK2,Homo sapiens
E5RHJ1,IDS,Homo sapiens
G3V2U0,CFL2,Homo sapiens
A0A0J9YXJ8,PUF60,Homo sapiens
H0YHR1,BTBD11,Homo sapiens
F8WFE3,DUS4L,Homo sapiens
A0A0G2JMV9,KIR2DS4,Homo sapiens
A0A2U3TZN9,ESRP1,Homo sapiens
A0A2R8Y6Y5,SGCE,Homo sapiens
E9PL52,SERGEF,Homo sapiens
A0A140T9P7,HLA-DPB1,Homo sapiens
D6RJF0,CENPK,Homo sapiens
F8WCH7,ZNF630,Homo sapiens
H0Y907,DCUN1D4,Homo sapiens
A0A0U1RQW2,RBM39,Homo sapiens
E7ENI1,LHCGR,Homo sapiens
I3L4T2,MINK1,Homo sapiens
F8WE47,TMEM44,Homo sapiens
A0A0G2JS25,SERPINA2,Homo sapiens
E5RG87,SLC30A8,Homo sapiens
A0A7I2V3I9,MARK3,Homo sapiens
F2Z2Q8,GARNL3,Homo sapiens
A0A0G2JN90,TSBP1,Homo sapiens
A4QPE4,SPTBN2,Homo sapiens
A2ID95,TKTL1,Homo sapiens
E9PMJ3,RNH1,Homo sapiens
K7EQB5,RDH13,Homo sapiens
H3BNN8,CMC2,Homo sapiens
E9PAR2,CREM,Homo sapiens
Q6P5T0,AQP7,Homo sapiens
Q86XC5,TMEM97,Homo sapiens
A0A087X0U2,POLR1D,Homo sapiens
G3V1J0,WDR55,Homo sapiens
B7ZB74,EI24,Homo sapiens
D6RD60,HINT1,Homo sapiens
F8VZL7,BACH1,Homo sapiens
A0A7I2V2U5,SCFD1,Homo sapiens
B4E3U2,FBXO3,Homo sapiens
E5RIR1,NDRG1,Homo sapiens
V9GY92,DUSP12,Homo sapiens
A0A087WY02,OR10C1,Homo sapiens
H3BRI2,ADGRG1,Homo sapiens
E9PK98,OSBPL9,Homo sapiens
E5RH86,TATDN1,Homo sapiens
A0A0G2JIG2,VPS52,Homo sapiens
A0A0U1WNF5,KIR3DL2,Homo sapiens
A0A5F9ZH88,,Homo sapiens
A0A0G2JPS7,VSTM1,Homo sapiens
B4E009,CD69,Homo sapiens
B3KUV7,PIGA,Homo sapiens
A0A0G2JNT7,KANSL1,Homo sapiens
H0YD44,PTPRK,Homo sapiens
E5RGN3,ATOX1,Homo sapiens
B4DKF8,PSD3,Homo sapiens
A0A7P0TBB8,VRK1,Homo sapiens
G5E9G7,NRXN2,Homo sapiens
C9JA32,GLYCTK,Homo sapiens
D3DPN2,SDC3,Homo sapiens
Q8WVF3,RAB28,Homo sapiens
G3V2M4,JKAMP,Homo sapiens
D3DX46,MPP3,Homo sapiens
C9JMU6,PPP2R3B,Homo sapiens
Q96B13,PPP2R5C,Homo sapiens
Q86TS1,CEP128,Homo sapiens
J3KPN7,RAD9B,Homo sapiens
E5RJD5,POMK,Homo sapiens
G3V220,TCERG1,Homo sapiens
K4DI81,UBE2C,Homo sapiens
B7Z3L6,SLC28A1,Homo sapiens
G3V120,FAM91A1,Homo sapiens
A0A7P0TBL9,ACSL3,Homo sapiens
A0A0G2JQD6,FAM20C,Homo sapiens
A0A0A6YYC7,ZFP91-CNTF,Homo sapiens
C9IYK2,SMC4,Homo sapiens
I3L3N6,CEP20,Homo sapiens
B7Z4C8,RPL31,Homo sapiens
H3BU43,SIRPB1,Homo sapiens
Q29704,CIITA,Homo sapiens
E9PKX4,ZNF707,Homo sapiens
E9PCL8,SLC8A1,Homo sapiens
H0YEU4,KMT2A,Homo sapiens
B4E2I4,GCLC,Homo sapiens
Q96CG9,RTN2,Homo sapiens
Q5TCS4,FIG4,Homo sapiens
M0R2G5,,Homo sapiens
A0A0G2JH38,CFB,Homo sapiens
B4DFW0,MAP3K7CL,Homo sapiens
A0A3B3ITW6,KIF1A,Homo sapiens
I3L0X1,ALDH3A2,Homo sapiens
C4N360,KIR3DL1,Homo sapiens
B4DRG3,LDAH,Homo sapiens
D6RFH8,CCDC30,Homo sapiens
H3BP85,ULK3,Homo sapiens
Q6R5J7,EPB41L2,Homo sapiens
E2QRB3,PYCR1,Homo sapiens
A0A7I2PM36,KNDC1,Homo sapiens
H0YIJ9,ATP23,Homo sapiens
M0R338,SSBP4,Homo sapiens
Q5TB16,C1orf54,Homo sapiens
Q5STF0,CCHCR1,Homo sapiens
B4DGL8,ABCB7,Homo sapiens
A0A1W2PP81,TAF11L7,Homo sapiens
A0A087WYT0,PRH1,Homo sapiens
F8W1M3,DGKA,Homo sapiens
A0A0G2JJW2,AGER,Homo sapiens
Q5SRR8,DDAH2,Homo sapiens
A0A0G2JK42,MSH5,Homo sapiens
A0A140T9F1,OR12D2,Homo sapiens
F6V2D4,LGALS8,Homo sapiens
U3KQK0,H2BC15,Homo sapiens
C9IYJ9,CDK14,Homo sapiens
Q708E3,MYB,Homo sapiens
I3L4B6,B3GNTL1,Homo sapiens
B0QYZ9,LARGE1,Homo sapiens
A0A2R8Y7T2,DDX3X,Homo sapiens
B5A982,AGER,Homo sapiens
Q29967,HLA-DQB1,Homo sapiens
B4DWJ1,PTK2,Homo sapiens
Q16446,B2M,Homo sapiens
A0A7I2V389,NPEPPS,Homo sapiens
D6RAU6,FBXO4,Homo sapiens
Q5T1Z8,PUM1,Homo sapiens
E9PPY1,EEF1D,Homo sapiens
B4DQA8,GOSR1,Homo sapiens
A0A024RCL3,MICA,Homo sapiens
C9JDV3,OCA2,Homo sapiens
A0A087WZ14,SOCS7,Homo sapiens
X6RH80,PHF11,Homo sapiens
H3BLY3,CIR1,Homo sapiens
A0A7I2YQA1,GSK3A,Homo sapiens
H0Y710,BAG6,Homo sapiens
G3V433,NUMB,Homo sapiens
H7C594,SLC37A3,Homo sapiens
G3V5T3,CPSF2,Homo sapiens
E9PJ84,EEF1D,Homo sapiens
H0YHZ5,GPN3,Homo sapiens
A0A2R8Y700,CNKSR2,Homo sapiens
J3QRV4,CORO6,Homo sapiens
E9PCX5,TMEM161B,Homo sapiens
H3BU24,SCAPER,Homo sapiens
B1A4H0,GH1,Homo sapiens
H0YNG3,SEC11A,Homo sapiens
A0A7I2V446,KCP,Homo sapiens
E5RFZ6,DGLUCY,Homo sapiens
H3BQA3,PDPK1,Homo sapiens
H7C5J3,USP13,Homo sapiens
E5RHN3,HAVCR2,Homo sapiens
E7ERQ4,MFSD8,Homo sapiens
F8WC38,RPP40,Homo sapiens
D6RC59,HAPLN1,Homo sapiens
C9J2G0,BABAM2,Homo sapiens
C9J1S9,BCS1L,Homo sapiens
U3KQH8,COX7A1,Homo sapiens
K7EMY1,KEAP1,Homo sapiens
E9PAL7,SSR1,Homo sapiens
H3BMA2,SIN3A,Homo sapiens
M0R055,ELAVL1,Homo sapiens
F8WCB5,TBC1D15,Homo sapiens
F8VXI2,PTPRQ,Homo sapiens
E5RH99,ZNF696,Homo sapiens
A0A3B3IRK7,TNS1,Homo sapiens
H0Y7M4,AOPEP,Homo sapiens
E7EN81,FBLIM1,Homo sapiens
J3KPX7,PHB2,Homo sapiens
I3L3Z9,CCER2,Homo sapiens
A0A2R8Y6M7,RNASEH2B,Homo sapiens
A0A087X260,TARDBP,Homo sapiens
E7EW59,SALL2,Homo sapiens
A0A7P0TA90,DMD,Homo sapiens
F8WF07,MOSPD3,Homo sapiens
C9JMP6,BACH1,Homo sapiens
K7EP25,ERC1,Homo sapiens
A6NNI4,CD9,Homo sapiens
F5H2R9,FADS1,Homo sapiens
A0A2R8Y6N3,ALAS2,Homo sapiens
A0A5H1ZRP6,SNX27,Homo sapiens
V9GYB9,CCDC24,Homo sapiens
C9JYQ9,RPL22L1,Homo sapiens
C9JUC4,AFF3,Homo sapiens
H0YGY7,PLCZ1,Homo sapiens
H3BU05,MYO9A,Homo sapiens
A0A590UJ72,KCNAB2,Homo sapiens
E9PLE4,PTDSS2,Homo sapiens
C9JHY1,TRPV6,Homo sapiens
E7ENZ2,FCHSD2,Homo sapiens
C9JQD8,ADORA2A,Homo sapiens
A0A1W2PQS8,HLA-A,Homo sapiens
E9PLM0,PCSK7,Homo sapiens
A0A669KAY7,GLA,Homo sapiens
H0YHI1,CCDC38,Homo sapiens
H3BTQ1,TNRC6A,Homo sapiens
D6RJB7,ANKRD31,Homo sapiens
A8MUV4,FOXP2,Homo sapiens
E7ESH4,HSPD1,Homo sapiens
D6RJC1,CXXC5,Homo sapiens
C9JI11,KBTBD2,Homo sapiens
J3QKX6,SMARCE1,Homo sapiens
E5RK84,PTK2B,Homo sapiens
F8VPB1,LMBR1L,Homo sapiens
H0YJX4,EFCAB11,Homo sapiens
B1ARF3,INPP5B,Homo sapiens
C9JA03,ABCB8,Homo sapiens
A0A0B4J252,SLC8B1,Homo sapiens
A0A2R8Y6S4,SGCE,Homo sapiens
J3QQQ6,TOX3,Homo sapiens
F8WEC7,ZNF473,Homo sapiens
G3V3Q5,HEATR4,Homo sapiens
H7BZ44,PRMT5,Homo sapiens
E5RHN2,CCNE2,Homo sapiens
D6R9Y0,NLN,Homo sapiens
A0A0G2JPW6,LENG8,Homo sapiens
G3V454,TBPL2,Homo sapiens
E9PEF1,PDE2A,Homo sapiens
J3KTB7,TOP2A,Homo sapiens
A0A7I2V2Q4,GSK3A,Homo sapiens
E9PLX9,DEUP1,Homo sapiens
F6VD24,CIZ1,Homo sapiens
H0Y3S8,CASP9,Homo sapiens
F8W9P3,TRIP12,Homo sapiens
X6RBV8,NEURL1,Homo sapiens
A0A2R8Y4S6,CHAMP1,Homo sapiens
K7ERW2,NPC1,Homo sapiens
H3BMM6,GGA2,Homo sapiens
H3BRV8,VPS35L,Homo sapiens
A0A7P0TAP6,FAM126A,Homo sapiens
I3L4B3,TMEM219,Homo sapiens
A0A7P0T8V3,WDR62,Homo sapiens
H0YKN2,MEIS2,Homo sapiens
F8WBK6,GUSB,Homo sapiens
H3BTR2,METTL22,Homo sapiens
A0A087X2G6,NOP16,Homo sapiens
A0A590UJ15,KCNAB2,Homo sapiens
M0R147,HSD17B14,Homo sapiens
A0A1B0GW41,ING5,Homo sapiens
M0QYK7,TRPM4,Homo sapiens
H3BTH4,ADPGK,Homo sapiens
H7C4J6,SPAG8,Homo sapiens
S4R417,RPS15,Homo sapiens
E9PGI3,INTS12,Homo sapiens
E7EMG7,SLC16A14,Homo sapiens
F8WE73,DOCK10,Homo sapiens
H7C4J8,SYPL1,Homo sapiens
H7BZL1,MAP2K5,Homo sapiens
H7C0U8,SRRT,Homo sapiens
H0YA95,SMUG1,Homo sapiens
A0A669KBM6,CFAP298-TCP10L,Homo sapiens
D6R9X8,ITGA3,Homo sapiens
A0A1B0GW97,POU2F2,Homo sapiens
X6R456,TTBK1,Homo sapiens
K7ER53,NFATC1,Homo sapiens
D6RE89,CCHCR1,Homo sapiens
I3L0W2,SMG1,Homo sapiens
H0YJS0,ATP6V1D,Homo sapiens
J3QSE6,HSD11B1L,Homo sapiens
A0A087WZ88,RXRG,Homo sapiens
A0A669KB10,GBF1,Homo sapiens
M0QXD6,GTF2F1,Homo sapiens
K7EP10,ZNF524,Homo sapiens
K7ELY8,PEX12,Homo sapiens
G3V2E4,SHMT2,Homo sapiens
F8WBK9,OXSR1,Homo sapiens
J3KRR1,C17orf75,Homo sapiens
H7C263,REV1,Homo sapiens
A0A494C1S0,SPDYE1,Homo sapiens
D6RGC6,IQGAP2,Homo sapiens
H3BPT5,KDM8,Homo sapiens
E7EMA9,PGGHG,Homo sapiens
A0A0B4J203,,Homo sapiens
F6WRY4,SPEN,Homo sapiens
H0Y622,OPN1LW,Homo sapiens
H0Y8S7,RBM24,Homo sapiens
C9JNP8,PARL,Homo sapiens
C9JW52,IGFBP2,Homo sapiens
F5H625,DHX40,Homo sapiens
E9PN94,DDIAS,Homo sapiens
H0YBY1,TG,Homo sapiens
F5H0L2,CRB1,Homo sapiens
C9J0B2,DCUN1D1,Homo sapiens
F5H852,FADS1,Homo sapiens
H0YNA7,SPPL2A,Homo sapiens
K7EIH1,ZNF500,Homo sapiens
C9JCK7,CHST10,Homo sapiens
A0A0G2JN00,MARVELD2,Homo sapiens
A0A590UJK2,CACNA1A,Homo sapiens
H7BZH7,GTF3A,Homo sapiens
A2A2M0,RPRD1B,Homo sapiens
G3V2V4,SPATA7,Homo sapiens
K7EMX5,TXNL4A,Homo sapiens
H3BUH2,ADGRG1,Homo sapiens
A0A1B0GTT5,VIM,Homo sapiens
K7ESP5,HEATR6,Homo sapiens
H0Y5Z8,QSOX1,Homo sapiens
H0Y351,LAMA4,Homo sapiens
F5GZM8,ATP8B3,Homo sapiens
A0A2R8Y6G0,CTNNB1,Homo sapiens
E9PQU7,LAYN,Homo sapiens
A0A0J9YW36,STMN3,Homo sapiens
A0A7P0Z443,MTO1,Homo sapiens
K7EIN1,WBP2,Homo sapiens
C9JMQ9,KLHL24,Homo sapiens
F2Z2R4,ERCC6L2,Homo sapiens
M0R1R5,FCER2,Homo sapiens
D6RCR2,ROPN1B,Homo sapiens
A0A7I2V2U2,SGTA,Homo sapiens
F2Z3C5,PRKCZ,Homo sapiens
A0A6Q8NVI4,ARID1B,Homo sapiens
H0Y958,CCT5,Homo sapiens
H0Y7E5,SREBF2,Homo sapiens
F5H4I1,ZNF140,Homo sapiens
A0A7I2V5M6,NMT1,Homo sapiens
F8WE28,EXOG,Homo sapiens
F5H5Q3,SLC2A14,Homo sapiens
D6RI08,OCIAD1,Homo sapiens
Q5SXX8,ETNK2,Homo sapiens
K7ENT0,ANKRD13B,Homo sapiens
C9JZA4,DCTN1,Homo sapiens
H7C4F1,AGAP3,Homo sapiens
A0A2R8Y644,CDK13,Homo sapiens
Q5TBH6,GNPAT,Homo sapiens
G3XAH6,PAPOLA,Homo sapiens
G3V4E1,DGKA,Homo sapiens
A0A2R8Y7U4,SMARCE1,Homo sapiens
C9JW33,UXS1,Homo sapiens
H0YMG8,RNF31,Homo sapiens
J3KRV2,PTPRM,Homo sapiens
A0A075B720,USP8,Homo sapiens
R4GNF9,TSTD1,Homo sapiens
H0YAQ2,HNRNPH1,Homo sapiens
C9JS59,RNF123,Homo sapiens
A0A7I2V483,MARK3,Homo sapiens
K7ERH3,GJC1,Homo sapiens
E9PNA7,ANO1,Homo sapiens
X6R3T8,SAP30BP,Homo sapiens
E5RG52,RRM2B,Homo sapiens
C9JNR0,IL1R2,Homo sapiens
H7C1Z1,AZI2,Homo sapiens
F5H4X4,KDM2B,Homo sapiens
G3V5U0,MDGA2,Homo sapiens
C9JQG1,SLC26A4,Homo sapiens
A0A2R8Y438,ANKRD11,Homo sapiens
E9PG37,ARHGEF3,Homo sapiens
F8WDK4,WDR31,Homo sapiens
A0A5H1ZRP3,TET3,Homo sapiens
E9PL76,VNN2,Homo sapiens
H3BUQ7,BBS4,Homo sapiens
S4R453,KCNMA1,Homo sapiens
H0YAH6,DDR1,Homo sapiens
E9PLC5,C11orf54,Homo sapiens
H0Y767,SBF2,Homo sapiens
H0YNY9,EIF2AK4,Homo sapiens
F8W0X2,CALCOCO1,Homo sapiens
C9JGI8,PALS2,Homo sapiens
A0A590UJS2,GNAS,Homo sapiens
A0A0A0MTA0,NKIRAS2,Homo sapiens
A0A1W2PQT1,IQCJ-SCHIP1,Homo sapiens
H3BN97,NDRG4,Homo sapiens
H0YG16,KLC1,Homo sapiens
F8WF69,CLTA,Homo sapiens
A0A087WYX1,PRMT2,Homo sapiens
A0A1B0GV63,ARID1B,Homo sapiens
F6RP06,BNIP3,Homo sapiens
A0A1W2PPJ3,SCN1A,Homo sapiens
A0A0D9SET4,CHD2,Homo sapiens
A0A3B3ITC1,MOGS,Homo sapiens
J3KSF2,NDEL1,Homo sapiens
F8VSE0,B4GALNT1,Homo sapiens
K7EL44,PGS1,Homo sapiens
H7C5H0,POGLUT1,Homo sapiens
F8VPW2,ZDHHC17,Homo sapiens
E9PK50,ABCC8,Homo sapiens
X6RH63,APCDD1,Homo sapiens
A0A0A0MRT8,SPAG6,Homo sapiens
H0Y8E6,MCM2,Homo sapiens
B1AQM9,CNST,Homo sapiens
H7BZ19,HS1BP3,Homo sapiens
M0R2K3,BABAM1,Homo sapiens
F6R6G4,RFX5,Homo sapiens
H0YKN8,TLE3,Homo sapiens
E7ENF1,C12orf43,Homo sapiens
C9J5Z5,FAM3D,Homo sapiens
A0A0A0MSU8,CREM,Homo sapiens
A0A087WZT9,PSKH1,Homo sapiens
I3L1K1,PITPNM3,Homo sapiens
H0YA39,GAK,Homo sapiens
A0A6Q8PFM4,RBFOX1,Homo sapiens
A0A7I2YQM6,TWF2,Homo sapiens
G3V4N8,WARS1,Homo sapiens
F5H0D0,EIF2B1,Homo sapiens
A0A1W2PQH3,ME2,Homo sapiens
A0A087X226,UAP1L1,Homo sapiens
F5H4M0,VPS37B,Homo sapiens
H3BR33,ACSM3,Homo sapiens
H9KVC1,FYTTD1,Homo sapiens
G3V5Q1,APEX1,Homo sapiens
H3BS38,GOLGA6L2,Homo sapiens
F5H8A3,WIF1,Homo sapiens
H0Y9N5,RO60,Homo sapiens
C9JDZ7,CCL25,Homo sapiens
A0A1W2PQ76,RPL7L1,Homo sapiens
I3L0N4,TLCD3A,Homo sapiens
C9JG89,ZNF440,Homo sapiens
F8VV59,NAP1L1,Homo sapiens
Q5LJB1,UCHL5,Homo sapiens
H7BYD9,PAM,Homo sapiens
D6R950,TBCK,Homo sapiens
C9JVK0,IL1B,Homo sapiens
A0A3B3ISS2,PDZRN4,Homo sapiens
A0A2R8Y5Z7,CHD4,Homo sapiens
C9JKE2,TOP3B,Homo sapiens
A0A0A0MSC3,GRM7,Homo sapiens
K7EQ91,SLC39A6,Homo sapiens
K7ER08,RBM42,Homo sapiens
A0A7P0Z4J4,ALG8,Homo sapiens
J3QQP1,SLC39A11,Homo sapiens
A0A7P0TB09,AKAP9,Homo sapiens
A0A2R8Y5X5,SGCE,Homo sapiens
V9GY25,PFKP,Homo sapiens
Q5JYC0,NOL4L,Homo sapiens
I3L3Y9,GPS2,Homo sapiens
A0A7P0T898,CTSO,Homo sapiens
C9JKC2,EXOC7,Homo sapiens
E9PS30,EIF1AD,Homo sapiens
A0A5F9ZI76,PLPPR5,Homo sapiens
C9JUZ5,PEX5L,Homo sapiens
H7C472,ST6GAL1,Homo sapiens
F8VYE0,COPZ1,Homo sapiens
G3V3F2,ZNF219,Homo sapiens
A0A2R8Y7D8,ST3GAL3,Homo sapiens
H0Y9E1,IFT122,Homo sapiens
A0A0U1RRG3,FASN,Homo sapiens
A0A590UK99,DMBT1,Homo sapiens
A0A087WZX3,WDFY2,Homo sapiens
E5RFP6,VDAC3,Homo sapiens
E9PPV1,FCMR,Homo sapiens
A0A6Q8PGF7,LRSAM1,Homo sapiens
E9PLT0,CSDE1,Homo sapiens
A0A2R8Y5D4,STXBP1,Homo sapiens
A0A590UJ65,OBSCN,Homo sapiens
A0A7I2V4I8,ACO2,Homo sapiens
H7BXF8,SLC35A5,Homo sapiens
A0A2R8Y621,SGCE,Homo sapiens
H0YIE0,FAR2,Homo sapiens
Q5R3K2,CALHM6,Homo sapiens
K7EKL3,GRN,Homo sapiens
A0A494C126,LMBRD1,Homo sapiens
C9JAF1,MFF,Homo sapiens
A0A0A0MRP8,SEPTIN8,Homo sapiens
S4R3F9,CAPNS1,Homo sapiens
C9JR02,RBM5,Homo sapiens
G3V4I1,SCFD1,Homo sapiens
C9JU79,MTERF1,Homo sapiens
C9JC05,TSPAN12,Homo sapiens
F5H115,TEKT3,Homo sapiens
A0A286YFI3,MAPK10,Homo sapiens
H3BTT1,TMEM62,Homo sapiens
A0A2R8YFV8,SMARCA4,Homo sapiens
F8VVK7,MBD6,Homo sapiens
E5RI14,RAD54B,Homo sapiens
M0QZ82,PRKD2,Homo sapiens
H3BTS2,CENPT,Homo sapiens
S4R3Y7,KCTD10,Homo sapiens
A0A5F9ZH72,ADK,Homo sapiens
A0A1B0GUR0,PRRT2,Homo sapiens
H7C583,XRN1,Homo sapiens
A8MTF1,PI4KA,Homo sapiens
G3V5Y5,KCNK10,Homo sapiens
H9KV28,DIAPH1,Homo sapiens
I3L0S2,NLRP1,Homo sapiens
F5GXK7,UBC,Homo sapiens
H0YKI0,DUT,Homo sapiens
A0A087WYV3,ZCCHC17,Homo sapiens
F8WEY3,PTPN7,Homo sapiens
F8WDZ3,CMTM7,Homo sapiens
A0A140T9Y7,NSUN2,Homo sapiens
E9PJK0,BSCL2,Homo sapiens
E5RG50,DMGDH,Homo sapiens
I3L1G1,TOM1L1,Homo sapiens
G5E9L0,ARFGAP2,Homo sapiens
E5RGG1,DCTN4,Homo sapiens
S4R3G5,ATXN7L2,Homo sapiens
F8W7Q4,FAM162A,Homo sapiens
F8W8B0,MOB4,Homo sapiens
H0YHN4,WDR90,Homo sapiens
D6RAF2,TENT2,Homo sapiens
J3QRF2,DYM,Homo sapiens
C9JBI8,MITF,Homo sapiens
H0YFX9,H2AJ,Homo sapiens
C9JUQ8,ZMYND10,Homo sapiens
H0YJR0,RPS6KL1,Homo sapiens
A0A6I8PRU6,KRTCAP2,Homo sapiens
F5H190,PLEKHB1,Homo sapiens
H0YNK2,DCAF11,Homo sapiens
H0YG99,FOXM1,Homo sapiens
C9JE09,RREB1,Homo sapiens
G3V2Z5,NEK9,Homo sapiens
D6RAZ9,DOK3,Homo sapiens
J3KSX9,DHX40,Homo sapiens
H0YEH1,PICALM,Homo sapiens
R4GNG9,IFITM3,Homo sapiens
A0A1B0GTI6,ARID1B,Homo sapiens
J3QR78,STRADA,Homo sapiens
A0A087WVH5,PCGF3,Homo sapiens
C9J579,ARMH1,Homo sapiens
H0YMQ6,PLEKHH1,Homo sapiens
C9JDM8,ICA1L,Homo sapiens
H0YEZ8,RNFT1,Homo sapiens
A0A0G2JNL3,MUC4,Homo sapiens
J3KQT8,TNFAIP8,Homo sapiens
E9PH58,TTLL4,Homo sapiens
A0A0C4DGX8,ATP6AP1,Homo sapiens
C9JRL6,EML2,Homo sapiens
J3QRR3,PSMC5,Homo sapiens
E5RGM4,SKP1,Homo sapiens
H0YL40,TMCO5A,Homo sapiens
H0YIJ6,PIP4K2C,Homo sapiens
A0A087WWC7,COTL1,Homo sapiens
F8VXJ0,ALG10B,Homo sapiens
A0A0J9YW54,RALGAPB,Homo sapiens
H0YDA0,NKAIN1,Homo sapiens
F8W1U9,SYT1,Homo sapiens
A0A0D9SFE7,PLCB1,Homo sapiens
A6NFX8,NUDT5,Homo sapiens
F5H277,STK38L,Homo sapiens
A0A1W2PP66,PARL,Homo sapiens
A0A5F9ZHK2,JAK1,Homo sapiens
A0A494C0J8,MYD88,Homo sapiens
E5RJQ7,IPCEF1,Homo sapiens
A0A7P0PE46,TK2,Homo sapiens
R4GNH3,PSMC3,Homo sapiens
C9JBT1,MTURN,Homo sapiens
H0YMG6,CERS3,Homo sapiens
K7EJN8,PRR22,Homo sapiens
H3BTS4,CAPN15,Homo sapiens
K7EKA3,RHBDF2,Homo sapiens
H3BRC7,REXO5,Homo sapiens
H0YAY8,ANK1,Homo sapiens
X6R772,QRSL1,Homo sapiens
J3KSA4,RBBP8,Homo sapiens
F8VPN1,CALCOCO1,Homo sapiens
A0A1B0GTX8,CACNB4,Homo sapiens
F8VP90,MMP14,Homo sapiens
H0YKG5,IPO4,Homo sapiens
H0YBT7,HSF4,Homo sapiens
A0A7P0T9X8,BAIAP2L2,Homo sapiens
E7ETP6,IL24,Homo sapiens
H3BTY6,SPG7,Homo sapiens
A0A075B6E2,RPS19,Homo sapiens
A0A7P0TAE9,CANX,Homo sapiens
A0A3B3IRT8,SSR1,Homo sapiens
M0R3C9,NOTCH3,Homo sapiens
Q5JVD1,CNTRL,Homo sapiens
H0Y2Y4,ZDHHC14,Homo sapiens
E9PNJ1,PRCP,Homo sapiens
H0YMG2,HMG20A,Homo sapiens
M0QXX2,KLK5,Homo sapiens
J3KPF0,HECTD4,Homo sapiens
A0A7P0TAB7,AMMECR1L,Homo sapiens
A0A1B0GV43,CHRNA7,Homo sapiens
F5H592,ATF7IP,Homo sapiens
F8WCD7,ABI2,Homo sapiens
A0A494C148,TBK1,Homo sapiens
E5RJA1,NCALD,Homo sapiens
F8W726,UBAP2L,Homo sapiens
A6NKZ9,TIAL1,Homo sapiens
X6R8K8,UBXN11,Homo sapiens
H0YLM1,SHF,Homo sapiens
I3L0B8,SLC25A52,Homo sapiens
A0A0C4DGQ1,ZSCAN5A,Homo sapiens
B5MBX1,JADE2,Homo sapiens
K7ERE5,MFSD11,Homo sapiens
F5H1Q8,CYP4B1,Homo sapiens
I3L345,SLC47A1,Homo sapiens
H7C2T9,USP40,Homo sapiens
A0A1W2PRT7,SLC35A3,Homo sapiens
F5H227,ANKRD49,Homo sapiens
H3BRB4,ADGRG1,Homo sapiens
D6RD93,KIF2A,Homo sapiens
